#EventId,Magnitude,Epoch,Time,TimeLocal,Distance,Latitude,Longitude,DepthKm,DepthMi
17748019,1.4790781928971342,#####,12:00.0,2012/09/22 09:46:45 PDT,30.0 km (  18.6 mi) WSW ( 240. azimuth) from Millican OR,41.844405558820036,-124.25366988340201,14.961569679064054,100
48579417,3.115640479672871,#####,12:00.0,2012/09/22 09:46:45 PDT,30.0 km (  18.6 mi) WSW ( 240. azimuth) from Millican OR,47.238032550294236,-118.44013656475651,4.680406119046044,100
31276838,0.021256629191895512,#####,12:00.0,2012/09/22 09:46:45 PDT,30.0 km (  18.6 mi) WSW ( 240. azimuth) from Millican OR,43.496894554631886,-114.56270457186363,21.192801336470385,100
28380956,7.094884744561517,#####,12:00.0,2012/09/22 09:46:45 PDT,30.0 km (  18.6 mi) WSW ( 240. azimuth) from Millican OR,42.98737537367403,-128.6083041171994,17.719589223522703,100
35727762,5.582957586944647,#####,12:00.0,2012/09/22 09:46:45 PDT,30.0 km (  18.6 mi) WSW ( 240. azimuth) from Millican OR,40.57758186893506,-117.47845534621723,27.247851142833728,100
62292496,3.985835846817804,#####,12:00.0,2012/09/22 09:46:45 PDT,30.0 km (  18.6 mi) WSW ( 240. azimuth) from Millican OR,44.30909094291563,-121.32519133010803,20.115048754085752,100
46469831,4.994013620101832,#####,12:00.0,2012/09/22 09:46:45 PDT,30.0 km (  18.6 mi) WSW ( 240. azimuth) from Millican OR,42.74240088158746,-122.30919544815312,24.544344970438456,100
30270005,2.347490945821561,#####,12:00.0,2012/09/22 09:46:45 PDT,30.0 km (  18.6 mi) WSW ( 240. azimuth) from Millican OR,45.95358405468983,-120.36644933267306,8.185160510025122,100
21342198,4.722591241929447,#####,12:00.0,2012/09/22 09:46:45 PDT,30.0 km (  18.6 mi) WSW ( 240. azimuth) from Millican OR,47.7718140177266,-120.83798710991533,9.435522322048136,100
19420788,3.3245334835098177,#####,12:00.0,2012/09/22 09:46:45 PDT,30.0 km (  18.6 mi) WSW ( 240. azimuth) from Millican OR,44.02059042789275,-127.14641140219734,25.264170973905966,100
40438880,1.8218755955583532,#####,12:00.0,2012/09/22 09:46:45 PDT,30.0 km (  18.6 mi) WSW ( 240. azimuth) from Millican OR,41.410992557054755,-123.7722716228515,6.662073545309069,100
10174096,5.900063520029888,#####,12:00.0,2012/09/22 09:46:45 PDT,30.0 km (  18.6 mi) WSW ( 240. azimuth) from Millican OR,40.22130890213488,-126.6627141453891,20.666998563043432,100
27120695,1.6512629725499988,#####,12:00.0,2012/09/22 09:46:45 PDT,30.0 km (  18.6 mi) WSW ( 240. azimuth) from Millican OR,44.914138405274684,-116.50063952529003,18.96687598821436,100
14419158,2.5278329888382203,#####,12:00.0,2012/09/22 09:46:45 PDT,30.0 km (  18.6 mi) WSW ( 240. azimuth) from Millican OR,49.23360112262683,-119.4125830743646,26.091739049903435,100
14312614,5.277947436622461,#####,12:00.0,2012/09/22 09:46:45 PDT,30.0 km (  18.6 mi) WSW ( 240. azimuth) from Millican OR,45.24031946405855,-127.63315638138572,16.409485053933,100
40026373,2.1711556368301936,#####,12:00.0,2012/09/22 09:46:45 PDT,30.0 km (  18.6 mi) WSW ( 240. azimuth) from Millican OR,48.404695320112744,-126.17561470394328,10.549708877453158,100
52156186,3.5357355599815143,#####,12:00.0,2012/09/22 09:46:45 PDT,30.0 km (  18.6 mi) WSW ( 240. azimuth) from Millican OR,43.24702708863941,-122.80247691541445,15.691531579823419,100
62452603,8.327116037798776,#####,12:00.0,2012/09/22 09:46:45 PDT,30.0 km (  18.6 mi) WSW ( 240. azimuth) from Millican OR,40.89617709335541,-123.28545150219651,11.55368800600212,100
33208668,2.7183113428890344,#####,12:00.0,2012/09/22 09:46:45 PDT,30.0 km (  18.6 mi) WSW ( 240. azimuth) from Millican OR,45.587453676171705,-124.73375511732876,23.887731512599704,100
55815224,4.223133452055878,#####,12:00.0,2012/09/22 09:46:45 PDT,30.0 km (  18.6 mi) WSW ( 240. azimuth) from Millican OR,39.74127596515229,-121.8143499535321,17.08058848553967,100
39687109,3.7584452864027904,#####,12:00.0,2012/09/22 09:46:45 PDT,30.0 km (  18.6 mi) WSW ( 240. azimuth) from Millican OR,41.63459966974687,-115.04336999110966,0.11064581248602555,100
47241944,1.2820619132923556,#####,12:00.0,2012/09/22 09:46:45 PDT,30.0 km (  18.6 mi) WSW ( 240. azimuth) from Millican OR,46.77748471970549,-117.95933328330773,22.24742183722339,100
